PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,AccHR_X,AccHR_Y,AccHR_Z,Gyr_X,Gyr_Y,Gyr_Z,GyrHR_X,GyrHR_Y,GyrHR_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3],Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U,Temperature,GyrTemp_X,GyrTemp_Y,GyrTemp_Z
45244,1231039,-0.298707,-0.388003,9.423898,-0.272117,-0.566115,-0.372038,,,,-0.005598,-0.005779,-0.015356,,,,,,,-0.000747,-0.00097,0.02356,1,-0.000007,-0.000007,-0.000019,,0.999954,0.009426,0.001359,0.001192,1.080309,0.154492,0.138093,0.999993,0.00241,-0.002696,-0.002359,0.999819,0.018854,0.002741,-0.018847,0.999819,,,,,,,30.52,,,
45245,1231064,0.778463,0.232645,9.917977,0.804779,0.046772,0.130775,,,,0.014231,-0.006452,-0.024991,,,,,,,0.001946,0.000581,0.024795,1,0.000018,-0.000008,-0.000031,,0.999954,0.009443,0.001351,0.00116,1.08224,0.153522,0.134431,0.999994,0.002346,-0.002679,-0.002295,0.999819,0.018887,0.002723,-0.018881,0.999818,,,,,,,30.52,,,
45246,1231089,1.04777,0.535368,10.166616,1.075124,0.345603,0.384261,,,,0.000352,0.016444,-0.032485,,,,,,,0.002621,0.001338,0.025416,1,0,0.000021,-0.000041,,0.999954,0.009442,0.001371,0.001119,1.082224,0.155905,0.129755,0.999994,0.002265,-0.002721,-0.002213,0.999819,0.018887,0.002763,-0.018881,0.999818,,,,,,,30.52,,,
45247,1231114,-0.155577,0.063053,9.651896,-0.128428,-0.119225,-0.135956,,,,-0.006044,0.013099,-0.016141,,,,-0.157614,-0.120944,0.350519,-0.000388,0.000158,0.02413,1,-0.000008,0.000016,-0.00002,100248,0.999954,0.009434,0.001387,0.001099,1.081298,0.157764,0.127411,0.999994,0.002224,-0.002754,-0.002171,0.99982,0.018871,0.002795,-0.018865,0.999818,,,,,,,30.54,,,
45248,1231139,-0.186607,0.068135,9.756618,-0.16014,-0.116506,-0.031091,,,,0.003888,-0.012901,-0.009632,,,,,,,-0.000467,0.00017,0.024392,1,0.000005,-0.000016,-0.000012,,0.999954,0.009438,0.00137,0.001086,1.081753,0.155829,0.125936,0.999994,0.002198,-0.00272,-0.002146,0.999819,0.018879,0.002761,-0.018873,0.999818,,,,,,,30.54,,,
45249,1231164,0.953318,0.466214,10.159554,0.979525,0.276668,0.376267,,,,-0.004685,-0.016648,-0.014125,,,,,,,0.002382,0.001166,0.025399,1,-0.000006,-0.000021,-0.000018,,0.999954,0.009432,0.001349,0.001068,1.081022,0.153422,0.1238,0.999994,0.002161,-0.002678,-0.00211,0.99982,0.018866,0.002718,-0.01886,0.999818,,,,,,,30.54,,,
45250,1231189,1.780963,-0.141483,9.887857,1.808103,-0.323454,0.090926,,,,-0.014928,0.000187,-0.012027,,,,,,,0.004452,-0.000353,0.02472,1,-0.000019,0,-0.000015,,0.999954,0.009413,0.001349,0.001052,1.078825,0.153421,0.12201,0.999994,0.002129,-0.002678,-0.002079,0.99982,0.018828,0.002717,-0.018822,0.999819,,,,,,,30.54,,,
45251,1231214,1.454535,-0.202992,9.771787,1.481594,-0.383955,-0.025442,,,,0.003441,0.002379,-0.002505,,,,-0.152782,-0.122447,0.353543,0.003636,-0.000508,0.024429,1,0.000004,0.000003,-0.000003,100251,0.999954,0.009417,0.001351,0.001048,1.079263,0.153708,0.12159,0.999994,0.002122,-0.002683,-0.002071,0.99982,0.018836,0.002722,-0.01883,0.999819,,,,,,,30.52,,,
45252,1231239,1.59397,0.099952,9.912183,1.621003,-0.082896,0.120232,,,,-0.008491,0.005821,-0.000674,,,,,,,0.003985,0.00025,0.02478,1,-0.000011,0.000007,-0.000001,,0.999954,0.009406,0.001358,0.001047,1.077993,0.154484,0.121441,0.999994,0.00212,-0.002696,-0.002068,0.999821,0.018813,0.002736,-0.018808,0.999819,,,,,,,30.52,,,
45253,1231264,1.441262,-0.140562,9.860211,1.469253,-0.322638,0.064082,,,,-0.004359,0.015446,0.007165,,,,,,,0.003604,-0.000351,0.02465,1,-0.000005,0.000019,0.000009,,0.999954,0.009399,0.001376,0.001055,1.077272,0.156559,0.122385,0.999994,0.002136,-0.002732,-0.002084,0.999821,0.018801,0.002772,-0.018795,0.99982,,,,,,,30.52,,,
