PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Pressure,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
16527,4538333,0.153754,0.448317,9.789697,0.032029,0.006226,0.006599,,,,0.000385,0.001119,0.024474,1,0.00004,0.000008,0.000008,,0.999966,0.008083,-0.001495,-0.000523,0.926314,-0.170811,-0.061274,0.999995,-0.001069,0.002981,0.001021,0.999869,0.016166,-0.002998,-0.016163,0.999865
16528,4538358,0.365722,-0.831997,9.531909,0.067667,0.008266,0.002717,,,,0.000915,-0.002084,0.023829,1,0.000085,0.00001,0.000003,,0.999965,0.008166,-0.001484,-0.000523,0.935808,-0.169581,-0.061373,0.999995,-0.001071,0.00296,0.001023,0.999866,0.016332,-0.002977,-0.016329,0.999862
16529,4538383,-0.516328,3.084548,9.79281,0.024419,-0.002171,0.004352,,,,-0.001291,0.00771,0.024482,1,0.000031,-0.000003,0.000005,,0.999965,0.008195,-0.001487,-0.000518,0.939196,-0.169896,-0.060799,0.999995,-0.001061,0.002965,0.001012,0.999865,0.016391,-0.002982,-0.016388,0.999861
16530,4538408,0.496742,1.819063,9.908573,0.023674,0.003948,0.010363,-0.223557,-0.263692,0.419832,0.001242,0.004546,0.024772,1,0.00003,0.000005,0.000013,100632,0.999965,0.008224,-0.001482,-0.000506,0.942475,-0.169349,-0.05935,0.999995,-0.001036,0.002956,0.000987,0.999864,0.016448,-0.002972,-0.016445,0.99986
16531,4538433,0.047534,2.629111,9.751611,-0.044106,0.008278,0.004294,,,,0.000119,0.006575,0.024378,1,-0.000055,0.00001,0.000005,,0.999965,0.008168,-0.001472,-0.000501,0.936047,-0.168168,-0.05876,0.999995,-0.001026,0.002935,0.000977,0.999866,0.016336,-0.002951,-0.016333,0.999862
16532,4538458,0.199932,-1.049623,9.068804,-0.02684,0.006226,-0.006023,,,,0.0005,-0.002623,0.022672,1,-0.000034,0.000008,-0.000008,,0.999966,0.008132,-0.001463,-0.000513,0.932013,-0.167211,-0.060136,0.999995,-0.00105,0.002918,0.001002,0.999867,0.016266,-0.002935,-0.016263,0.999864
16533,4538483,-0.528072,0.027371,9.422235,-0.028352,-0.002055,0.000981,,,,-0.00132,0.00007,0.023556,1,-0.000035,-0.000003,0.000001,,0.999966,0.008096,-0.001466,-0.000512,0.927843,-0.167502,-0.060045,0.999995,-0.001048,0.002923,0.001,0.999869,0.016193,-0.00294,-0.01619,0.999865
16534,4538508,0.144072,-2.795424,9.87796,0.016003,0.001285,0.009692,-0.222087,-0.265672,0.421835,0.00036,-0.00699,0.024695,1,0.00002,0.000002,0.000012,100629,0.999966,0.008115,-0.001464,-0.0005,0.930023,-0.167334,-0.058698,0.999995,-0.001024,0.002921,0.000977,0.999868,0.016231,-0.002937,-0.016228,0.999864
16535,4538533,0.275935,-0.180974,9.664585,0.050118,0.005119,0.013944,,,,0.00069,-0.000455,0.024161,1,0.000063,0.000006,0.000017,,0.999965,0.008177,-0.001458,-0.000483,0.937088,-0.166627,-0.056733,0.999995,-0.00099,0.002908,0.000942,0.999866,0.016354,-0.002924,-0.016352,0.999862
16536,4538558,0.05695,0.700582,9.456337,0.048953,0.013683,0.002833,,,,0.000143,0.001749,0.023641,1,0.000061,0.000017,0.000004,,0.999965,0.008236,-0.001441,-0.000485,0.943903,-0.164621,-0.056919,0.999995,-0.000993,0.002873,0.000946,0.999864,0.016473,-0.002889,-0.016471,0.99986
16537,4538583,-0.695863,3.609013,9.705934,-0.001338,0.00141,0.004794,,,,-0.00174,0.009023,0.024265,1,-0.000002,0.000002,0.000006,,0.999965,0.008234,-0.001439,-0.000479,0.943601,-0.164425,-0.056273,0.999995,-0.000982,0.00287,0.000935,0.999864,0.016468,-0.002886,-0.016465,0.99986
16538,4538608,0.368024,0.141237,9.802558,-0.022154,-0.006725,0.007933,-0.220703,-0.261239,0.419353,0.00092,0.000354,0.024506,1,-0.000028,-0.000008,0.00001,100632,0.999965,0.008205,-0.001447,-0.00047,0.940317,-0.165401,-0.055197,0.999995,-0.000963,0.002887,0.000916,0.999865,0.016411,-0.002902,-0.016408,0.999861
16539,4538633,0.103294,1.185604,10.125514,-0.014205,0.008044,0.008256,,,,0.000259,0.002965,0.025314,1,-0.000018,0.00001,0.00001,,0.999965,0.008186,-0.001437,-0.00046,0.93817,-0.164262,-0.05404,0.999995,-0.000943,0.002867,0.000896,0.999866,0.016373,-0.002882,-0.016371,0.999862
16540,4538658,0.455945,-1.029871,9.778242,0.026473,0.006943,0.001473,,,,0.00114,-0.002576,0.024445,1,0.000033,0.000009,0.000002,,0.999965,0.008218,-0.001428,-0.000462,0.94177,-0.163219,-0.054341,0.999996,-0.000948,0.002849,0.000901,0.999865,0.016436,-0.002864,-0.016434,0.999861
16541,4538683,-0.589305,2.22492,9.742978,0.00177,0.00738,0.001184,,,,-0.001473,0.005562,0.024357,1,0.000002,0.000009,0.000001,,0.999965,0.008219,-0.001419,-0.000461,0.941915,-0.162159,-0.054198,0.999996,-0.000946,0.00283,0.000899,0.999865,0.016439,-0.002845,-0.016436,0.999861
16542,4538708,0.33926,1.391231,9.795766,0.007492,0.007199,0.006861,-0.218796,-0.259767,0.41986,0.000849,0.003478,0.024489,1,0.000009,0.000009,0.000009,100630,0.999965,0.008227,-0.00141,-0.000453,0.942877,-0.161138,-0.053243,0.999996,-0.000929,0.002812,0.000883,0.999864,0.016455,-0.002827,-0.016453,0.999861
16543,4538733,-0.106234,2.590793,9.575643,-0.050077,0.006399,0.00231,,,,-0.000265,0.00648,0.023938,1,-0.000063,0.000008,0.000003,,0.999966,0.008164,-0.001402,-0.000451,0.935594,-0.160221,-0.052941,0.999996,-0.000924,0.002796,0.000878,0.999866,0.016328,-0.002811,-0.016326,0.999863
16544,4538758,0.107329,-0.74854,8.86013,-0.055039,0.009739,-0.009803,,,,0.000269,-0.001868,0.022151,1,-0.000069,0.000012,-0.000012,,0.999966,0.008093,-0.001389,-0.000467,0.927527,-0.158752,-0.05484,0.999996,-0.000957,0.002771,0.000912,0.999869,0.016188,-0.002786,-0.016185,0.999865
16545,4538783,-0.650188,-0.711247,9.161283,-0.050451,0.002394,-0.00594,,,,-0.001625,-0.001775,0.022903,1,-0.000063,0.000003,-0.000007,,0.999967,0.008029,-0.001386,-0.000475,0.920195,-0.15839,-0.05573,0.999996,-0.000973,0.002764,0.000928,0.999871,0.01606,-0.00278,-0.016057,0.999867
16546,4538808,0.100134,-3.424525,9.596581,-0.005883,-0.006871,0.008366,-0.21832,-0.258776,0.422335,0.00025,-0.008561,0.023992,1,-0.000007,-0.000009,0.00001,100633,0.999967,0.008021,-0.001395,-0.000465,0.919241,-0.159387,-0.054592,0.999996,-0.000953,0.002782,0.000908,0.999871,0.016043,-0.002797,-0.01604,0.999868
